dataset,experiment,fig4,fig5d,fig5e,fold,individual,f1,precision,recall
HAR,CRNN_nogyr,False,True,False,1,4,0.9995432394324569,0.9995443499392467,0.9995433789954338
HAR,CRNN_nogyr,False,True,False,1,5,1.0,1.0,1.0
HAR,CRNN_nogyr,False,True,False,2,6,0.9982899253480525,0.9981687535186164,0.998423482061765
HAR,CRNN_nogyr,False,True,False,2,7,1.0,1.0,1.0
HAR,CRNN_nogyr,False,True,False,2,8,0.9998809046960323,0.9998824635637047,0.9998794309139137
HAR,CRNN_nogyr,False,True,False,2,9,1.0,1.0,1.0
HAR,CRNN_nogyr,False,True,False,2,10,0.9685431076340559,0.9732966643009227,0.969241773962804
HAR,CRNN_nogyr,False,True,False,2,11,0.9102087163195747,0.9457258597883599,0.9146349392107145
HAR,CRNN_nogyr,False,True,False,3,12,0.9997761373337511,0.9997878479293959,0.9997647280255976
HAR,CRNN_nogyr,False,True,False,3,13,0.9223063610903636,0.9478173185723139,0.9262384875789289
HAR,CRNN_nogyr,False,True,False,3,14,0.7911691756599213,0.8957615599218559,0.8245512213963947
HAR,CRNN_nogyr,False,True,False,3,15,0.9980098365272069,0.997529719054894,0.9985116722901265
HAR,CRNN_nogyr,False,True,False,3,16,1.0,1.0,1.0
HAR,CRNN_nogyr,False,True,False,3,17,0.9998801153556057,0.999866950505588,0.9998933674557474
HAR,CRNN_nogyr,False,True,False,4,18,1.0,1.0,1.0
HAR,CRNN_nogyr,False,True,False,4,19,0.9474663991911704,0.9564221725918128,0.951307462223632
HAR,CRNN_nogyr,False,True,False,4,20,0.9837685726847466,0.9846354766843359,0.9844091050826318
HAR,CRNN_nogyr,False,True,False,4,21,1.0,1.0,1.0
HAR,CRNN_nogyr,False,True,False,4,22,0.9361415298658257,0.9399424182299306,0.9383239338007808
HAR,CRNN_nogyr,False,True,False,4,23,1.0,1.0,1.0
HAR,rf_nogyr,False,True,False,1,0,0.91497355645439,0.944717548231092,0.914784135179425
HAR,rf_nogyr,False,True,False,1,1,0.853304133675962,0.8741510015664767,0.8587243256254155
